FORMAT weighted-center-coefficients-v1
T2 0.8838047458203124
WINDOW 0.00043990552724552023
COS 5.94 1.0232005637934254
COS 8.4575 0.47544256072012486
COS 12.375 0.05102626690709388
COS 15.5725 0.03454223754322806
COS 19.5425 0.016891773189778407
COS 26.995 0.010012979860123965
COS 34.175 0.00189038809898953
COS 34.18 0.0021614004507549836
COS 41.745 0.00038896898049169706
COS 45.9 0.0011992708893714872
COS 53.0 6.751140628599771e-05
COS 53.105 0.0009082376572308487
COS 60.34 0.0003656992871080976
COS 64.42 0.00011272040838198199
COS 65.0 4.4626328576194996e-05
COS 71.975 0.00026920072155100453
COS 79.125 0.00014824247909259265
COS 83.0 9.078534433544206e-06
COS 84.0 3.1487346806436083e-06
COS 91.0 5.9684583740196886e-05
COS 95.0 1.6094468770545183e-05
COS 102.0 2.8966219422698852e-05
COS 103.0 6.230520410459167e-05
COS 114.0 1.921583240540204e-05
COS 118.0 8.365328695559919e-07
COS 121.0 4.0357585901914794e-05
COS 122.0 6.142510688693344e-05
COS 133.0 2.4583392965535314e-06
COS 136.0 5.403300058756365e-05
COS 140.0 1.532381804148849e-05
COS 152.0 3.634046786724688e-07
COS 155.0 3.006356902537886e-05
COS 159.0 1.891512561396589e-05
COS 167.0 2.16512474137744e-06
COS 174.0 2.1936273640330577e-05
COS 178.0 2.59006730668007e-05
COS 186.0 4.9596342659568804e-06
COS 193.0 1.9704120648048443e-05
COS 197.0 4.1423035278017445e-05
COS 205.0 1.3793156759916872e-05
COS 212.0 2.6670305413682887e-05
COS 216.0 8.634981563025041e-05
COS 224.0 6.91885773024998e-05
COS 231.0 0.00015816340530430247
COS 235.0 0.0002685712856456081
COS 242.0 0.0018811461812803455
COS 249.0 0.002369121912178966
COS 258.0 2.3080353525333424e-05
COS 260.0 0.002231954283581028
COS 266.0 0.00019765511585959452
COS 267.0 0.00024041283987612672
COS 273.0 2.2212983391396665e-05
COS 277.0 6.172962549614646e-07
COS 284.0 1.0222988105367023e-05
COS 285.0 8.482417885745257e-05
COS 292.0 7.089206715526708e-05
COS 303.0 1.1687927555490315e-05
COS 304.0 5.6285514502470766e-05
COS 311.0 6.665175570058292e-05
COS 315.0 5.646022528139588e-06
COS 318.0 4.026733380561768e-05
COS 319.0 6.010720015798387e-07
COS 323.0 1.1895293683921526e-05
COS 326.0 1.110152392801224e-06
COS 330.0 3.560850193770772e-05
COS 337.0 3.37589610352024e-05
COS 338.0 7.076019795550278e-06
COS 345.0 3.1160604224497935e-06
COS 349.0 3.165803826047262e-05
COS 356.0 3.1144088982490794e-05
COS 357.0 1.2288366710583384e-05
COS 364.0 1.1296385042320837e-05
COS 368.0 3.674157338084353e-05
COS 375.0 4.9290902253793126e-05
COS 376.0 3.4396594030136354e-05
COS 382.0 2.1669021653890868e-05
COS 383.0 7.636377923565028e-05
COS 390.0 6.92865215471544e-05
COS 397.0 3.279482542580183e-05
COS 398.0 4.290946905205304e-05
PI 1 0.000439905527245520230
PI 2 0.000439905527245520230
PI 3 0.000439905527245520230
PI 4 0.000439905527245520230
PI 5 0.0004399055271465383190499617805
PI 6 0.000439905527245520230
PI 7 0.000439905527245520230
PI 8 0.000439905527245520230
PI 9 0.000439905527245520230
PI 10 0.000439905527245520230
PI 11 0.000439905527245520230
PI 12 0.0004318112724572986704524167968
PI 13 0.000439905527245520230
PI 14 0.000439905527245520230
PI 15 0.000439905527245520230
PI 16 0.000439905527245520230
PI 17 0.000439905527245520230
PI 18 0.000439905527245520230
PI 19 0.000439905527245520230
PI 20 0.0004399055271692942800499507456
PI 21 0.000439905527245520230
PI 22 0.000439905527245520230
PI 23 0.000439905527245520230
PI 24 0.0004368754374842624879482983762
PI 25 0.000439905527245520230
PI 26 0.000439905527245520230
PI 27 0.000439905527245520230
PI 28 0.000439905527245520230
PI 29 0.000439905527245520230
PI 30 0.0004399055272331570370811864504
PI 31 0.000439905527245520230
PI 32 0.0004399055272455200540377891018
PI 33 0.000439905527245520230
PI 34 0.000439905527245520230
PI 35 0.0003780183567700761328608635845
PI 36 0.000439905527245520230
PI 37 0.000439905527245520230
PI 38 0.000439905527245520230
PI 39 0.000439905527245520230
PI 40 0.000439905527245520230
PI 41 0.0003504153575004511184369346850
PI 42 0.000439905527245520230
PI 43 0.000439905527245520230
PI 44 0.000439905527245520230
PI 45 0.0004399055272265632491427506231
PI 46 0.000439905527245520230
PI 47 0.0003936232778171625667652211432
PI 48 0.000439905527245520230
PI 49 0.000439905527245520230
PI 50 0.0004399055272251646135094262161
PI 51 0.000439905527245520230
PI 52 0.000439905527245520230
PI 53 0.0004019943273287175435861328400
PI 54 0.000439905527245520230
PI 55 0.000439905527245520230
PI 56 0.000439905527245520230
PI 57 0.000439905527245520230
PI 58 0.000439905527245520230
PI 59 0.0003989859695030987472157025461
PI 60 0.000439905527245520230
PI 61 0.000439905527245520230
PI 62 0.000439905527245520230
PI 63 0.000439905527245520230
PI 64 0.000439905527245520230
PI 65 0.0003809352677775941002464092409
PI 66 0.000439905527245520230
PI 67 0.000439905527245520230
PI 68 0.000439905527245520230
PI 69 0.000439905527245520230
PI 70 0.0004398460401818223750563776731
PI 71 0.0003087074584089331915263004569
PI 72 0.000439905527245520230
PI 73 0.000439905527245520230
PI 74 0.000439905527245520230
PI 75 0.000439905527245520230
PI 76 -0.000074263017590412100
PI 77 0.000439905527245520230
PI 78 -0.001748382643258384900
PI 79 -0.002072360424318640000
PI 80 -0.004897917868121261000
PI 81 -0.002257961606642171000
PI 82 -0.003298393763709666400
PI 83 0.0003721020750274006460571327434
PI 84 0.000439905527245520230
PI 85 0.0004399055271888571867804281021
PI 86 0.000439905527245520230
PI 87 0.0003059543641668818051215997538
PI 88 0.000439905527245520230
PI 89 0.000439905527245520230
PI 90 0.000439905527245520230
PI 91 0.000439905527245520230
PI 92 0.000439905527245520230
PI 93 0.000439905527245520230
PI 94 0.000439905527245520230
PI 95 0.000439905527245520230
PI 96 0.000439905527245520230
PI 97 0.000439905527245520230
PI 98 0.000439905527245520230
PI 99 0.000439905527245520230
PI 100 0.000439905527245520230
PI 101 0.000439905527245520230
PI 102 0.000439905527245520230
PI 103 0.000439905527245520230
PI 104 0.000439905527245520230
PI 105 0.0004334012969008468340663993540
PI 106 0.000439905527245520230
PI 107 0.000439905527245520230
PI 108 0.000439905527245520230
PI 109 0.000439905527245520230
PI 110 0.000439905527245520230
PI 111 0.000439905527245520230
PI 112 0.0004399055271844133931158520304
PI 113 0.000439905527245520230
PI 114 0.000439905527245520230
PI 115 0.000439905527245520230
PI 116 0.000439905527245520230
PI 117 0.000439905527245520230
PI 118 0.000439905527245520230
PI 119 0.000439905527245520230
PI 120 0.000439905527245520230
PI 121 0.000439905527245520230
PI 122 0.000439905527245520230
PI 123 0.0004184154380752848146060707606
PI 124 0.000421463561779461370
PI 125 0.000439905527245520230
PI 126 0.000439905527245520230
PI 127 0.000439905527245520230
PI 128 0.0003927046646258866180662728937
PI 129 0.0002856550660050211317177219412
PI 130 0.0002487999710595699501404200249
PI 131 0.000200689920716386480
PI 132 0.0000286836953971768725679140712
PI 133 -0.000441271804979499400
PI 134 -0.001247580206216984300
PI 135 -0.002250578955828077000
PI 136 -0.003125562754123561500
PI 137 -0.003535221417378802400
PI 138 -0.003293577201125473300
PI 139 -0.002485725279819200000
PI 140 -0.001413358876028296300
PI 141 -0.000441993184427970900
PI 142 0.0001859846264715090340641363243
PI 143 0.000434351377525595877
PI 144 0.0004379069065195949046
PI 145 0.0003754850619937492037921786144
PI 146 0.0003598212550034965217290030917
PI 147 0.0003984158927255454014013416586
PI 148 0.0004394022566901809212
PI 149 0.000439905527245520230
PI 150 0.0004057650041601723433880736649
PI 151 0.0003753239384161087686259792832
PI 152 0.0003787037907950639754781533337
PI 153 0.0004102103484146457607571638135
PI 154 0.0004389235169098601125
PI 155 0.0004399055272254321640510969415
PI 156 0.0004169385009261401281307126381
PI 157 0.0003955159765358600962745096302
PI 158 0.0003971259204080050168739115811
PI 159 0.0004192392177551147643782337394
PI 160 0.0004399055271995890780325570891
PI 161 0.000439905527245520230
PI 162 0.0004210118613608823591631357608
PI 163 0.0004029830182956970346626864767
PI 164 0.0004037412799968908960811082710
PI 165 0.0004221494738646293506008372191
PI 166 0.000439905527245520230
PI 167 0.000439905527245520230
PI 168 0.0004229133167728878853084609115
PI 169 0.0004063848000204255710153991583
PI 170 0.0004068906096068215226964620299
PI 171 0.000423720163830600230
PI 172 0.000439905527245520230
PI 173 0.0004399055272132535115009628875
PI 174 0.0004259444271570340343460727595
PI 175 0.0004158904730972924632891663635
PI 176 0.0004233305666569135823004356816
PI 177 0.000439905527245520230
PI 178 0.000439905527245520230
PI 179 0.0004069038414832029224766745645
PI 180 0.0003577707710151031317125265943
PI 181 0.0003364652300192681955697584209
PI 182 0.0003733858092570136820362182270
PI 183 0.000439905527245520230
PI 184 0.000439905527245520230
PI 185 0.0002578056407697336025336010999
PI 186 -0.0001624122507564005058640887899
PI 187 -0.000762440977895057500
PI 188 -0.001384302577865921800
PI 189 -0.001851134449777363500
PI 190 -0.002062055124802572500
PI 191 -0.002036076468912222400
PI 192 -0.001877031229557282600
PI 193 -0.001688694979003691800
PI 194 -0.001505164006076353000
PI 195 -0.001286126863496307500
PI 196 -0.000975067857763443400
PI 197 -0.000569133600756489600
PI 198 -0.000143180735565963520
PI 199 0.0001915509290186690844517936301
PI 200 0.0003606664054799178084753211888
PI 201 0.000374728253807624220
PI 202 0.000316255600985424880
PI 203 0.0002786968957388970024869834265
PI 204 0.0003055049079918716111790190541
PI 205 0.0003738081010304809780409244753
PI 206 0.000428519395971620884
PI 207 0.000434017636749512702
PI 208 0.0004006242659920393883379814508
PI 209 0.0003689462534254150272159109132
PI 210 0.0003709139722672715676656637434
PI 211 0.0004034985216770147066179382386
PI 212 0.000435812310241515152
PI 213 0.000439905527245520230
PI 214 0.0004157155776686291255910160667
PI 215 0.0003888209461463752093958235975
PI 216 0.0003851336911200833934019013735
PI 217 0.0004072439364872970641604173132
PI 218 0.000433579561384429406
PI 219 0.000439905527245520230
PI 220 0.0004219931949491360155915515859
PI 221 0.0003985876076313965635071829800
PI 222 0.0003926228051232076337045581118
PI 223 0.0004093690881004549788475171952
PI 224 0.000432214550675239934
PI 225 0.000439905527245520230
PI 226 0.0004278836083599684552740637399
PI 227 0.0004125557752291960634129663019
PI 228 0.0004133727784232614841162806809
PI 229 0.000430274397225904625
PI 230 0.000439905527245520230
PI 231 0.0004177078645650301926440777361
PI 232 0.0003667188752792699998643126344
PI 233 0.0003238844027142583574748435576
PI 234 0.0003310364447128058081517554169
PI 235 0.000389974363557874815
PI 236 0.000439905527245520230
PI 237 0.0003832792672303697721351452109
PI 238 0.0001483722347564318591762639466
PI 239 -0.0002551231862610349561332966887
PI 240 -0.0007310045429037916242697286839
PI 241 -0.001149345288383080370
PI 242 -0.001420721938581268870
PI 243 -0.001538255544396965273202933630
PI 244 -0.001558815346921917500
PI 245 -0.001541987658188023700
PI 246 -0.001497813979095003000
PI 247 -0.001385142945930286600
PI 248 -0.001159891798226504300
PI 249 -0.000830726114128765400
PI 250 -0.000473466865148774960
PI 251 -0.000189264521147633300
PI 252 -0.000038130684302834620
PI 253 0E-21
PI 254 0.000005873370866963862032210662098
PI 255 0.0000587487832141322845376691915
PI 256 0.0001799110634162725937135738480
PI 257 0.0003242955194607374300801953446
PI 258 0.000422998558336048908
PI 259 0.000439905527245520230
PI 260 0.0003970561928756083619244407999
PI 261 0.0003518513750641163610744331855
PI 262 0.0003488138392610239390707433199
PI 263 0.0003873455200864523789733897121
PI 264 0.000429939438908328052
PI 265 0.000439905527245520230
PI 266 0.0004136934272990401053855478398
PI 267 0.0003807494819443140767108005655
PI 268 0.0003738558456049227347167776845
PI 269 0.0003988221480689228322566340192
PI 270 0.0004309022450065700202016473549
PI 271 0.000439905527245520230
PI 272 0.0004193672147089684823357568689
PI 273 0.0003922213170697892175244853748
PI 274 0.0003877194635198653063554018994
PI 275 0.0004118337941356929681554818774
PI 276 0.000439905527245520230
PI 277 0.0004399055272400488610143311176
PI 278 0.0004051181362888046009056276554
PI 279 0.0003643949673700887959114394354
PI 280 0.0003572142733070708256095912172
PI 281 0.000394117336876766790
PI 282 0.000439905527245520230
PI 283 0.000439905527245520230
PI 284 0.0003706285726041227678755137028
PI 285 0.0002692236701042358303053751020
PI 286 0.0002079262295675141052186194131
PI 287 0.000225067103545440140
PI 288 0.000267060206770849730
PI 289 0.0001977534928288381988697065119
PI 290 -0.0001153108305457227259184691167
PI 291 -0.0006908007079934864242356431903
PI 292 -0.001381607261776548523822201128
PI 293 -0.001930274463464365770
PI 294 -0.002107039389879663470
PI 295 -0.001843374236934186326632602675
PI 296 -0.001271980117608119200
PI 297 -0.000646080952940625000
PI 298 -0.000193110502388483350
PI 299 0E-21
PI 300 0E-21
PI 301 -0.000055809325446004120
PI 302 -0.000068268719111265330
PI 303 -0.000030773245822251855
PI 304 0E-21
PI 305 -0.000020550455744398100
PI 306 -0.000072527210160873370
PI 307 -0.000085025799284558740
PI 308 0E-21
PI 309 0.0001711228965120719648730753297
PI 310 0.000347986849016135160
PI 311 0.000439905527245520230
PI 312 0.000414745395920801976
PI 313 0.0003220260096142223721651657778
PI 314 0.0002520435988505726908288630916
PI 315 0.0002648970387493421449267071138
PI 316 0.0003467355401192500563947561578
PI 317 0.000426977928722932153
PI 318 0.000439905527245520230
PI 319 0.0003787099976615858738323138952
PI 320 0.0002981436750683337190302645235
PI 321 0.0002658222512674779344381959397
PI 322 0.000304836351292802200
PI 323 0.000376604170011677010
PI 324 0.0004176895875418288218989604562
PI 325 0.0003978925930044429406338691846
PI 326 0.0003478711451931063026082568316
PI 327 0.0003300347047570923301100235214
PI 328 0.000375212293309321800
PI 329 0.000439905527245520230
PI 330 0.0004258333792967840843937714000
PI 331 0.0002542741317730737473484471950
PI 332 -0.0000598742000723653138606833975
PI 333 -0.0003954751694813239320166443943
PI 334 -0.000592930984624773770
PI 335 -0.0005602571941212747423892283433
PI 336 -0.0003427781521342521136971124600
PI 337 -0.0001029444112508741208074385954
PI 338 -0.0000189234037657566389776956515
PI 339 -0.000168323993713021170
PI 340 -0.000475676111952876870
PI 341 -0.0007592426119132198024213604544
PI 342 -0.0008457060689509132262216209267
PI 343 -0.0006767064837603806719847027583
PI 344 -0.0003394045823995640194045245452
PI 345 -0.0000060495723543987500706518247
PI 346 0.000172915935934750430
PI 347 0.0001517694643963249659058740613
PI 348 0E-21
PI 349 -0.000157082355172013770
PI 350 -0.000221561213050022100
PI 351 -0.000175353560833626560
PI 352 -0.000074690438464346910
PI 353 0E-21
PI 354 0E-21
PI 355 -0.000065417705004578070
PI 356 -0.000142748749188835590
PI 357 -0.000171981899698742840
PI 358 -0.000121325292011819780
PI 359 0E-21
PI 360 0.0001525724762537183427915916316
PI 361 0.0002894849078402612909382035228
PI 362 0.000376805710095307740
PI 363 0.000403768933937899070
PI 364 0.0003823452801089180155977278695
PI 365 0.0003396073566520545668253702986
PI 366 0.0003062993198940991752382102364
PI 367 0.000304264610639743960
PI 368 0.000336237570471445950
PI 369 0.000382762246555985926
PI 370 0.0004096666327768263622324985995
PI 371 0.0003844140352032884383073297449
PI 372 0.000293521826194919460
PI 373 0.000150870254290501680
PI 374 -0.0000089350947804593737543708384
PI 375 -0.0001489790719264671997296593986
PI 376 -0.0002491490115452812978067486919
PI 377 -0.0003140062404274323845130323969
PI 378 -0.000364497003635442370
PI 379 -0.000419153626899626270
PI 380 -0.0004773725045531993753264266238
PI 381 -0.0005160132587173645506650141196
PI 382 -0.0005018476600940237790671902902
PI 383 -0.0004122766007371859481947683082
PI 384 -0.0002516213949780467300941159943
PI 385 -0.0000532895516640459646049439003
PI 386 0.0001332942465315437972462152227
PI 387 0.0002633906818850038990816936594
PI 388 0.0003142327624790124554002280269
PI 389 0.0002908542291084007658849193629
PI 390 0.0002193612689758847319488594762
PI 391 0.000133010176332892430
PI 392 0.000058775931447804800
PI 393 0.0000101422471010608978604996959
PI 394 -0.000012631919694839272
PI 395 -0.000017238000404804330
PI 396 -0.000013113973115950560
PI 397 -0.000007255519381089523
PI 398 -0.0000029974450085600625
PI 399 -8.63438507936270E-7
PI 400 -1.388615253084668E-7
