log,xidx_lo,xidx_hi,Dhalf_upper
chunk0.out,0,6710886,0.5177904069599447479810626321924656764562630349207705434
chunk1.out,6710886,13421772,0.7571207190086611942059748228995077045403978568656333895
sub4.out,13421772,16777216,0.03893965299052096043174984668192302842969683588542868614
fc20.out,16777216,17616076,0.0000000004264008074204028743547319768088119249502976614469910036
fc21.out,17616076,18454937,0.0000000003062944187720711701971602735190252411543529008865345060
e44.out,18454937,18874368,0.000000000007246064464385862580276492409502923099171201835857776580
e45.out,18874368,19293798,0.00000000004546170347570834528678633110365468409137776518596856908
fc23.out,19293798,20132659,0.00000000007584455093641859874175975252553454245071495851813635675
g2_96.out,20132659,20342374,0.000000000004463283834998452750991394529918088796349424393637954449
g97.out,20342374,20552089,0.000000000001425014910747220871537081723582796755478461705249172988
g98.out,20552089,20761804,0.0000000000002876352051308869737385798568086634322089573884625996864
g2_99.out,20761804,20971520,0.000000000001956609901154650321295700301946359069639026576029071866
g2_100.out,20971520,21181235,0.0000000000004669771851113696373896258154595709890373645666319516438
last202.out,21181235,21286092,0.000000000001363180697688831241494232636877711293682844348629079383
last203.out,21286092,21390950,0.0000000000004580689942673055459590228573263443205286871442364789319
g2_102.out,21390950,21600665,0.000000000002961845116336173557383323968829618326487390951240160455
h103.out,21600665,21810380,0.000000000004637540474620103851904631057776967217225520436277816377
h104.out,21810380,22020096,0.000000000003104481650330864621458727289024495259590633683883393036
h105.out,22020096,22229811,0.00000000002083230431449308643901207089316167401731200672055222391
h106.out,22229811,22439526,0.00000000001718372906413885872390028510402056347598364311158638319
h107.out,22439526,22649241,0.00000000006882941840586506497633287387631031252598921969301065860
h108.out,22649241,22858956,0.00000000002430474284087985831982941107946514971565089181202793127
h109.out,22858956,23068672,0.00000000004369710443538055187630357834553937834790957770212119140
h110.out,23068672,23278387,0.00000000001802573934440877260399897016748412961683118153516366413
h111.out,23278387,23488102,0.000000000005240754378792387285623786142677996879250815041425777912
h112.out,23488102,23697817,0.000000000004113626981119126447624977832863312701159388045229873072
h113.out,23697817,23907532,0.00000000001007927125831804258939438746609949358363504334970652911
h114.out,23907532,24117248,0.000000000009391229419697016464885094522088665169494764548087862310
h115.out,24117248,24326963,0.000000000005440057650779128335842598428317074639999321696064454723
h116.out,24326963,24536678,0.00000000003322415827903028771423364397399470120837519661801668865
h117.out,24536678,24746393,0.00000000005280485820848545881723638922777032618355390798820978325
h118.out,24746393,24956108,0.00000000004812214660235956607684771650546864556066484343805370113
h119.out,24956108,25165824,0.0000000002461780844871774466888490374517413521946890468143600330
h120.out,25165824,25375539,0.00000000002892269067805747923620770564770989256583621559195823666
h121.out,25375539,25585254,0.0000000001623457548697230906377757397460799639261234474981039997
h122.out,25585254,25794969,0.0000000001884145637612526539985427814991379197694229082823207699
h123.out,25794969,26004684,0.00000000004654438726299602550040323198047475355464738241420782002
h124.out,26004684,26214400,0.0000000001940199655400301055901650777303566556502600701411551439
h125.out,26214400,26424115,0.0000000002216955782309068571527490980455668919264071498122393564
h126.out,26424115,26633830,0.00000000006837437104272033017397377187823456130518216678269375758
last127.out,26633830,26843545,0.000000000009242353400772949528725719570694843740831174972229380391
chunk4.out,26843545,33554432,0.000000001204313568127351517368228475737320443502770966727755520
