lo,hi,Dhalf_upper,taylor_order
0,0.0001,283284187473/5000000000000000000000000000,order3
0.0001,0.0053,0/1,order3
0.0053,0.0062,349638563031671419/5000000000000000000000000000,order3
0.0062,0.0088,0/1,order3
0.0088,0.0102,503228309510307573/2000000000000000000000000000,order3
0.0102,0.0124,0/1,order3
0.0124,0.0147,15577380242100633853/10000000000000000000000000000,order3
0.0147,0.0162,105415848253990901/2500000000000000000000000000,order3
0.0162,0.0187,31636738642762063653/10000000000000000000000000000,order3
0.0187,0.0197,150476403262455471/2500000000000000000000000000,order3
0.0197,0.0224,4774531946310050539/500000000000000000000000000,order3
0.0224,0.0232,631598982230810379/5000000000000000000000000000,order3
0.0232,0.0264,2682996135917320477/50000000000000000000000000,order3
0.0264,0.0272,141728039691445543/200000000000000000000000000,order3
0.0272,0.0304,729625385488834315103/2000000000000000000000000000,order3
0.0304,0.0307,1026464698493553687/1000000000000000000000000000,order3
0.0307,0.035,500373870571210886276883/5000000000000000000000000000,order3
0.035,0.05,6298714232056439623300529/5000000000000000000000000000,order3
0.05,0.4,5164302164686883092573090793/10000000000000000000000000000,order3
0.4,0.8,7571206856580430136869498231/10000000000000000000000000000,order3
0.8,0.97,77857554089828851453015501/2000000000000000000000000000,order3
0.97,1.0,5423569818354228619238169/500000000000000000000000000000,order6
1.0,1.1,732706922253131135737/1000000000000000000000000000000,order6
1.1,1.2,128557116609394191849/1000000000000000000000000000000,order6
1.2,1.3,18020973601108398693/1000000000000000000000000000000,order6
1.3,1.4,201225873404523550783/1000000000000000000000000000000,order6
1.4,1.5,409361040565908181359/1000000000000000000000000000000,order6
1.5,1.6,919584404829576928379/1000000000000000000000000000000,order6
1.6,1.7,1206702386287433768477/1000000000000000000000000000000,order6
1.7,1.8,0/1,order6
1.8,1.9,0/1,order6
1.9,2.0,0/1,order6
